,resultId,raceId,driverId,grid,position,year,date,dob,Car_Out,Driver_1,Driver_4,Driver_8,Driver_9,Driver_20,Driver_154,Driver_807,Driver_815,Driver_817,Driver_822,Driver_825,Driver_826,Driver_830,Driver_832,Driver_839,Driver_840,Driver_841,Driver_842,Driver_844,Driver_846,Driver_847,Driver_848,Driver_849,Driver_850,Driver_851,Driver_852,Driver_853,Driver_854,Driver_855,Driver_856,Driver_857,Driver_858,Driver_859,Season_2020,Season_2021,Season_2022,Season_2023,DriverAge,DriverVintage,DriverExpYears,Driver1_Grid,Driver4_Grid,Driver8_Grid,Driver9_Grid,Driver20_Grid,Driver154_Grid,Driver807_Grid,Driver815_Grid,Driver817_Grid,Driver822_Grid,Driver825_Grid,Driver826_Grid,Driver830_Grid,Driver832_Grid,Driver839_Grid,Driver840_Grid,Driver841_Grid,Driver842_Grid,Driver844_Grid,Driver846_Grid,Driver847_Grid,Driver848_Grid,Driver849_Grid,Driver850_Grid,Driver851_Grid,Driver852_Grid,Driver853_Grid,Driver854_Grid,Driver855_Grid,Driver856_Grid,Driver857_Grid,Driver858_Grid,Driver859_Grid
0,24629,1031,1,5.0,4.0,2020,2020-07-05,1985-01-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.49075975359343,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24639,1031,8,19.0,0.0,2020,2020-07-05,1979-10-17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.71731690622861,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24635,1031,20,11.0,10.0,2020,2020-07-05,1987-07-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.007529089664615,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24641,1031,154,15.0,0.0,2020,2020-07-05,1986-04-17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.217659137577,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,24631,1031,815,6.0,6.0,2020,2020-07-05,1990-01-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.439425051334702,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,24644,1031,817,10.0,0.0,2020,2020-07-05,1989-07-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.01163586584531,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24626,1031,822,1.0,1.0,2020,2020-07-05,1989-08-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.85284052019165,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24642,1031,825,16.0,0.0,2020,2020-07-05,1992-10-05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.748117727583846,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24637,1031,826,13.0,12.0,2020,2020-07-05,1994-04-26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.193018480492814,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24630,1031,832,8.0,5.0,2020,2020-07-05,1994-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.842573579739906,2020-07-05,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,1.0,0.0,12.0,0.0,5.0,8.0,0.0,9.0,7.0,2.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
